fecha_proceso,linea,curso,modulo,url,estado,nombre_bloque
2026-03-27 10:54:35,Mística,NUMERHOLOGIA,1,https://video.wixstatic.com/video/4ea8bc_f05150d79d7c4d0fa3d4ad3ef5e5680d/720p/mp4/file.mp4,listo,mística__numerhologia__modulo_1
2026-03-27 11:00:00,Mística,NUMERHOLOGIA,2,https://video.wixstatic.com/video/4ea8bc_928e80cbe97348f097cdd79c7ad5d0cf/720p/mp4/file.mp4,listo,mística__numerhologia__modulo_2
2026-03-27 11:04:53,Mística,NUMERHOLOGIA,3,https://video.wixstatic.com/video/4ea8bc_f56b310c0888491ea98cf33756b15e27/720p/mp4/file.mp4,listo,mística__numerhologia__modulo_3
2026-03-27 11:10:08,Mística,NUMERHOLOGIA,4,https://video.wixstatic.com/video/4ea8bc_03e41b476f8543478010b5f42d74deba/720p/mp4/file.mp4,listo,mística__numerhologia__modulo_4
2026-03-27 11:15:14,Mística,NUMERHOLOGIA,5,https://video.wixstatic.com/video/4ea8bc_d451a930e3db4f72a055d1a1db54ace5/720p/mp4/file.mp4,listo,mística__numerhologia__modulo_5
2026-03-27 11:20:45,Mística,NUMERHOLOGIA,6,https://video.wixstatic.com/video/4ea8bc_f6d7821452ba4e6e9a19c47608643086/720p/mp4/file.mp4,listo,mística__numerhologia__modulo_6
2026-03-27 11:26:20,Mística,NUMERHOLOGIA,7,https://video.wixstatic.com/video/4ea8bc_585719480ac04006bc7c1a92cb1d99d7/720p/mp4/file.mp4,listo,mística__numerhologia__modulo_7
2026-03-27 11:31:07,Mística,NUMERHOLOGIA,8,https://video.wixstatic.com/video/4ea8bc_a3fefbcaf4e344dd9d27e70da59e2eff/720p/mp4/file.mp4,listo,mística__numerhologia__modulo_8
