CURSO;MODULO;URL;LINEA
TERAPIA HOLISTICA 1;77;https://video.wixstatic.com/video/b5f93e_09c5c7203bca40e7bec06c8969153341/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;78;https://video.wixstatic.com/video/b5f93e_2e3015d80f3840e397fa61826afe9cb7/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;79;https://video.wixstatic.com/video/b5f93e_5656d09097c749fda05cc48e42f4fb40/1080p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;80;https://video.wixstatic.com/video/b5f93e_6e418ea19be448da94c8b1c0c5ad181b/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;81;https://video.wixstatic.com/video/b5f93e_e6755172a42344e2bf17c876bfb922bd/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;82;https://video.wixstatic.com/video/b5f93e_4e5f6e22b0884e06adbde56b342789e6/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;83;https://video.wixstatic.com/video/b5f93e_87bf921874ca432596e37c07e537d92a/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;84;https://video.wixstatic.com/video/b5f93e_08190915058048129469f133cd3e3040/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;85;https://video.wixstatic.com/video/b5f93e_6103a0f747204a8396ac1a446e0e561d/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;86;https://video.wixstatic.com/video/b5f93e_ac6ce3c43120436694ba9e91944b6106/720p/mp4/file.mp4;Diplomados
TERAPIA HOLISTICA 1;87;https://video.wixstatic.com/video/b5f93e_3fefd0cf20fc45008335b82e2cb597bd/1080p/mp4/file.mp4;Diplomados
TRANSGENERACIONAL;17;https://video.wixstatic.com/video/4ea8bc_cb12717c578f4a41bba65edbde6a508a/720p/mp4/file.mp4;Diplomados
HOLOBIOMAGNETISMO 2021;11;https://video.wixstatic.com/video/b5f93e_62456c1dd21b4f858ff5222c62072c63/1080p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 1;3;https://video.wixstatic.com/video/4ea8bc_539415ee5f3d489abfe368087aae0dfc/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 1;4;https://video.wixstatic.com/video/4ea8bc_88a5e6a6e45740b096274064eddc8364/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 1;5;https://video.wixstatic.com/video/4ea8bc_330abc856eeb405b965d4c2e4b4fea76/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 1;6;https://video.wixstatic.com/video/4ea8bc_453119c9f6eb4ce5b17ec10a477f875d/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 1;7;https://video.wixstatic.com/video/4ea8bc_db6aa01c79924b7bbea35b2c03924d16/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 1;8;https://video.wixstatic.com/video/4ea8bc_d6d5aec7b1ef4a1b99b32dbd990e4133/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 2;1;https://video.wixstatic.com/video/4ea8bc_a4922ba9ec1a446ab30c84c07fbf29bb/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 2;2;https://video.wixstatic.com/video/4ea8bc_778fa014ae244b3186aa34205257202a/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 2;3;https://video.wixstatic.com/video/4ea8bc_69826aa4387f4ccf90d665dadb7ac548/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 2;4;https://video.wixstatic.com/video/4ea8bc_d5395aaf36064e0d992624b32af51492/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 2;5;https://video.wixstatic.com/video/4ea8bc_d848f87d3d1c4af5bda35e7620f7fcd3/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 2;6;https://video.wixstatic.com/video/4ea8bc_8d03785aafbf4ccbbeb01a64e6ee4133/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 2;7;https://video.wixstatic.com/video/4ea8bc_108b5087904d4eabbdb331eedbb00919/720p/mp4/file.mp4;Salud
HOLOBIOMAGNETISMO PARTE 2;8;https://video.wixstatic.com/video/4ea8bc_d64826eb53f04860b322ffb6deee18c9/720p/mp4/file.mp4;Salud
