CURSO;MODULO;URL;LINEA
HOLOBIOMAGNETISMO PARTE 1;8;https://video.wixstatic.com/video/4ea8bc_d6d5aec7b1ef4a1b99b32dbd990e4133/720p/mp4/file.mp4;SALUD
HOLOBIOMAGNETISMO PARTE 2;1;https://video.wixstatic.com/video/4ea8bc_a4922ba9ec1a446ab30c84c07fbf29bb/720p/mp4/file.mp4;SALUD
HOLOBIOMAGNETISMO PARTE 2;2;https://video.wixstatic.com/video/4ea8bc_778fa014ae244b3186aa34205257202a/720p/mp4/file.mp4;SALUD
HOLOBIOMAGNETISMO PARTE 2;3;https://video.wixstatic.com/video/4ea8bc_69826aa4387f4ccf90d665dadb7ac548/720p/mp4/file.mp4;SALUD
HOLOBIOMAGNETISMO PARTE 2;4;https://video.wixstatic.com/video/4ea8bc_d5395aaf36064e0d992624b32af51492/720p/mp4/file.mp4;SALUD
HOLOBIOMAGNETISMO PARTE 2;5;https://video.wixstatic.com/video/4ea8bc_d848f87d3d1c4af5bda35e7620f7fcd3/720p/mp4/file.mp4;SALUD
HOLOBIOMAGNETISMO PARTE 2;6;https://video.wixstatic.com/video/4ea8bc_8d03785aafbf4ccbbeb01a64e6ee4133/720p/mp4/file.mp4;SALUD
HOLOBIOMAGNETISMO PARTE 2;7;https://video.wixstatic.com/video/4ea8bc_108b5087904d4eabbdb331eedbb00919/720p/mp4/file.mp4;SALUD
HOLOBIOMAGNETISMO PARTE 2;8;https://video.wixstatic.com/video/4ea8bc_d64826eb53f04860b322ffb6deee18c9/720p/mp4/file.mp4;SALUD
SANACION ENERGETICA INTEGRAL;1;https://video.wixstatic.com/video/4ea8bc_8fd29008d9814bfc910be69d4ffb734f/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;2;https://video.wixstatic.com/video/4ea8bc_2b56c6ea92b34a4c9b2b5ec01bb42ea5/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;3;https://video.wixstatic.com/video/4ea8bc_2e7b10539b5f443b864cab09c300837f/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;4;https://video.wixstatic.com/video/4ea8bc_2a9a8e0f447d475bb8b3995a2cb06dc2/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;5;https://video.wixstatic.com/video/4ea8bc_f569b260e9754a958cd4c2ab9fe3ef2f/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;6;https://video.wixstatic.com/video/4ea8bc_3b0213ec1c5e44f29d90b222bb41b824/1080p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;7;https://video.wixstatic.com/video/4ea8bc_f0cb9bfa8a5a4cb3bed584e55b1784d2/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;8;https://video.wixstatic.com/video/4ea8bc_ef4200e2b68041f2887d4423f505dcab/720p/mp4/file.mp4;DIPLOMADOS
SANACION ENERGETICA INTEGRAL;9;https://video.wixstatic.com/video/4ea8bc_ba6eae6c04c34256a5bfa528db141f12/720p/mp4/file.mp4;DIPLOMADOS
